ts,priceDiff,margin,sell_exchange_name,buy_exchange_name,sell_pair,buy_pair,sell_price,buy_price,sell_amount,buy_amount,sell_margin,buy_margin,suggested_buy_amount,suggested_sell_amount,gross_margin,trade_decision
2020-02-18 23:04:57.078373,0.0005352399999999924,0.0018328582822908317,binance,bittrex,XRP-USDT,XRP-USDT,0.29256,0.29202476,390.0,1366.7319730000002,-1252.633573,-4290.192093985456,114.0984,390.0,0.20912619743613448,False
2020-02-18 23:05:03.492602,0.0005751400000000295,0.001969489857815631,bitrue,bittrex,XRP-USDT,XRP-USDT,0.2926,0.29202486,1900.0,1366.7319730000002,-810.7919730000001,-2780.1904913163908,555.94,1900.0,1.0949181915540294,False
2020-02-18 23:05:08.097607,8.00000000000245e-05,0.0002734855736360744,bitrue,binance,XRP-USDT,XRP-USDT,0.2926,0.29252,1900.0,1534.0726,-978.1325999999999,-3344.334062628196,555.94,1900.0,0.15204156980723837,False
2020-02-18 23:05:17.373117,0.00048495999999997874,0.0016606795088530035,binance,bittrex,XRP-USDT,XRP-USDT,0.29251,0.29202504,390.0,1366.7319730000002,-1252.6530730000002,-4290.187606514839,114.07889999999999,390.0,0.18944849162248545,False
2020-02-18 23:05:23.910151,0.0005349199999999943,0.0018317604775589628,bitrue,bittrex,XRP-USDT,XRP-USDT,0.29256,0.29202508,1900.0,1366.7319730000002,-810.8679730000002,-2780.1869654483107,555.8639999999999,1900.0,1.018209706097764,False
2020-02-18 23:05:28.775251,0.00015999999999999348,0.0005472143370156076,bitrue,binance,XRP-USDT,XRP-USDT,0.29255,0.29239,1900.0,1534.0726,-978.2276,-3346.6657546427714,555.8449999999999,1900.0,0.30416635315850726,False
2020-02-18 23:05:38.035452,0.00020473999999998105,0.0007011037332865693,binance,bittrex,XRP-USDT,XRP-USDT,0.29223,0.29202526,390.0,1366.7319730000002,-1252.7622730000003,-4290.184080651105,113.96969999999999,390.0,0.07990458215154206,False
2020-02-18 23:05:44.476612,0.0003546999999999856,0.0012146207879933197,bitrue,bittrex,XRP-USDT,XRP-USDT,0.29238,0.2920253,1900.0,1366.7319730000002,-811.2099730000002,-2780.183439585543,555.5219999999999,1900.0,0.6747485693875888,False
2020-02-18 23:05:49.162782,0.00020999999999998797,0.0007191534536488065,bitrue,binance,XRP-USDT,XRP-USDT,0.29222,0.29201,1900.0,1534.0726,-978.8546,-3353.493373514606,555.218,1900.0,0.3992869422279455,False
2020-02-18 23:05:59.336969,0.000431960000000009,0.0014830835227759172,binance,bittrex,XRP-USDT,XRP-USDT,0.29169,0.29125804,390.0,1366.7319730000002,-1252.9728730000002,-4302.5124298714645,113.7591,390.0,0.1687142467758207,False
